"Electoral.District.Number.Numéro.de.circonscription","Electoral.District.Name.Nom.de.circonscription","Conservative Party of Canada","New Democratic Party","Liberal Party of Canada","People's Party of Canada","Green Party of Canada","Bloc Québécois","Rejected.Ballots.Bulletins.rejetés","Total.Votes.Total.des.votes","Electors.Électeurs"
48011,"Calgary Shepard/Calgary Shepard",44411,NA,10303,4284,1300,NA,416,73975,115565
48012,"Calgary Signal Hill/Calgary Signal Hill",35217,8863,11106,2859,1094,NA,332,60039,89020
48013,"Calgary Skyview/Calgary Skyview",17111,7690,20092,1720,432,NA,502,47935,87956
48014,"Edmonton Centre/Edmonton-Centre",15945,14171,16560,2094,NA,NA,342,49490,79203
48015,"Edmonton Griesbach/Edmonton Griesbach",15957,17457,5979,2617,538,NA,495,43554,81685
48016,"Edmonton Manning/Edmonton Manning",20219,14999,10468,3407,NA,NA,429,49655,90163
48017,"Edmonton Mill Woods/Edmonton Mill Woods",18392,10553,16499,2898,NA,NA,380,48894,77695
48018,"Edmonton Riverbend/Edmonton Riverbend",25702,14154,14169,2142,761,NA,312,57240,86420
48019,"Edmonton Strathcona/Edmonton Strathcona",13310,31690,3948,2366,634,NA,317,52540,76037
48020,"Edmonton West/Edmonton-Ouest",25278,14190,13016,3354,NA,NA,302,56291,91388
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin",48340,18259,12229,7670,NA,NA,576,87419,133800
48022,"Foothills/Foothills",44456,7117,4441,5111,802,NA,251,64467,89956
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",29242,4377,3060,5481,423,NA,327,43477,77398
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie",36361,6462,2397,5411,NA,NA,315,53455,84343
48025,"Lakeland/Lakeland",36557,5519,2610,5827,464,NA,229,52880,79059
48026,"Lethbridge/Lethbridge",32817,11386,8928,4097,NA,NA,282,59255,90847
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",31648,6816,3515,4484,725,NA,274,48688,79992
48028,"Peace River--Westlock/Peace River--Westlock",29486,6019,2431,5916,364,NA,198,46987,75685
48029,"Red Deer--Mountain View/Red Deer--Mountain View",40680,8826,4084,7581,NA,NA,278,63598,90474
48030,"Red Deer--Lacombe/Red Deer--Lacombe",39805,8806,3704,7893,NA,NA,348,62327,95567
48031,"St. Albert--Edmonton/St. Albert--Edmonton",29652,17816,11188,3684,NA,NA,338,62678,94889
48032,"Sherwood Park--Fort Saskatchewan/Sherwood Park--Fort Saskatchewan",41092,14740,8730,5004,700,NA,298,71696,97600
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland",40957,12532,4579,6671,NA,NA,331,66807,95719
48034,"Yellowhead/Yellowhead",33603,5977,2829,6475,NA,NA,294,51086,75205
59001,"Abbotsford/Abbotsford",21597,NA,10907,3300,1517,NA,370,45420,76429
